date,description
2017/11/9,
2017/11/10,
2017/11/11,weekend
2017/11/12,weekend
2017/11/13,
2017/11/14,
2017/11/15,
2017/11/16,
2017/11/17,
2017/11/18,weekend
2017/11/19,weekend
2017/11/20,
2017/11/21,
2017/11/22,
2017/11/23,
2017/11/24,
2017/11/25,weekend
2017/11/26,weekend
2017/11/27,
2017/11/28,
2017/11/29,
2017/11/30,
2017/12/1,
2017/12/2,weekend
2017/12/3,weekend
2017/12/4,
2017/12/5,
2017/12/6,
2017/12/7,
2017/12/8,
2017/12/9,weekend
2017/12/10,weekend
2017/12/11,
2017/12/12,
2017/12/13,
2017/12/14,
2017/12/15,
2017/12/16,weekend
2017/12/17,weekend
2017/12/18,
2017/12/19,
2017/12/20,
2017/12/21,
2017/12/22,
2017/12/23,weekend
2017/12/24,weekend
2017/12/25,
2017/12/26,
2017/12/27,
2017/12/28,
2017/12/29,
2017/12/30,weekend
2017/12/31,weekend
2018/1/1,holiday
2018/1/2,
2018/1/3,
2018/1/4,
2018/1/5,
2018/1/6,weekend
2018/1/7,weekend
2018/1/8,
2018/1/9,
2018/1/10,
2018/1/11,
2018/1/12,
2018/1/13,weekend
2018/1/14,weekend
2018/1/15,
2018/1/16,
2018/1/17,
2018/1/18,
2018/1/19,
2018/1/20,weekend
2018/1/21,weekend
2018/1/22,
2018/1/23,
2018/1/24,
2018/1/25,
2018/1/26,
2018/1/27,weekend
2018/1/28,weekend
2018/1/29,
2018/1/30,
2018/1/31,
2018/2/1,
2018/2/2,
2018/2/3,weekend
2018/2/4,weekend
2018/2/5,
2018/2/6,
2018/2/7,
2018/2/8,
2018/2/9,
2018/2/10,weekend
2018/2/11,weekend
2018/2/12,
2018/2/13,
2018/2/14,
2018/2/15,
2018/2/16,
2018/2/17,weekend
2018/2/18,weekend
2018/2/19,weekend
2018/2/20,weekend
2018/2/21,weekend
2018/2/22,weekend
2018/2/23,
2018/2/24,weekend
2018/2/25,weekend
2018/2/26,
2018/2/27,
2018/2/28,
2018/3/1,
2018/3/2,
2018/3/3,weekend
2018/3/4,weekend
2018/3/5,
2018/3/6,
2018/3/7,
2018/3/8,
2018/3/9,
2018/3/10,weekend
2018/3/11,weekend
2018/3/12,
2018/3/13,
2018/3/14,
2018/3/15,
2018/3/16,
2018/3/17,weekend
2018/3/18,weekend
2018/3/19,
2018/3/20,
2018/3/21,
2018/3/22,
2018/3/23,
2018/3/24,weekend
2018/3/25,weekend
2018/3/26,
2018/3/27,
2018/3/28,
2018/3/29,
2018/3/30,
2018/3/31,weekend
2018/4/1,weekend
2018/4/2,
2018/4/3,
2018/4/4,
2018/4/5,
2018/4/6,
2018/4/7,weekend
2018/4/8,weekend
2018/4/9,
2018/4/10,
2018/4/11,
2018/4/12,
2018/4/13,
2018/4/14,weekend
2018/4/15,weekend
2018/4/16,
2018/4/17,
2018/4/18,
2018/4/19,
2018/4/20,
2018/4/21,weekend
2018/4/22,weekend
2018/4/23,
2018/4/24,
2018/4/25,
2018/4/26,
2018/4/27,
2018/4/28,weekend
2018/4/29,weekend
2018/4/30,
2018/5/1,
2018/5/2,
2018/5/3,
2018/5/4,
2018/5/5,weekend
2018/5/6,weekend
2018/5/7,
2018/5/8,
2018/5/9,
2018/5/10,
2018/5/11,
2018/5/12,weekend
2018/5/13,weekend
2018/5/14,
2018/5/15,
2018/5/16,
2018/5/17,
2018/5/18,
2018/5/19,weekend
2018/5/20,weekend
2018/5/21,
2018/5/22,
2018/5/23,
2018/5/24,
2018/5/25,
2018/5/26,weekend
2018/5/27,weekend
2018/5/28,
2018/5/29,
2018/5/30,
2018/5/31,
2018/6/1,
2018/6/2,weekend
2018/6/3,weekend
2018/6/4,
2018/6/5,
2018/6/6,
2018/6/7,
2018/6/8,
2018/6/9,weekend
2018/6/10,weekend
2018/6/11,
2018/6/12,
2018/6/13,
2018/6/14,
2018/6/15,
2018/6/16,weekend
2018/6/17,weekend
2018/6/18,
2018/6/19,
2018/6/20,
2018/6/21,
2018/6/22,
2018/6/23,weekend
2018/6/24,weekend
2018/6/25,
2018/6/26,
2018/6/27,
2018/6/28,
2018/6/29,
2018/6/30,weekend
2018/7/1,weekend
2018/7/2,
2018/7/3,
2018/7/4,
2018/7/5,
2018/7/6,
2018/7/7,weekend
2018/7/8,weekend
2018/7/9,
2018/7/10,
2018/7/11,
2018/7/12,
2018/7/13,
2018/7/14,weekend
2018/7/15,weekend
2018/7/16,
2018/7/17,
2018/7/18,
2018/7/19,
2018/7/20,
2018/7/21,weekend
2018/7/22,weekend
2018/7/23,
2018/7/24,
2018/7/25,
2018/7/26,
2018/7/27,
2018/7/28,weekend
2018/7/29,weekend
2018/7/30,
2018/7/31,
2018/8/1,
2018/8/2,
2018/8/3,
2018/8/4,weekend
2018/8/5,weekend
2018/8/6,
2018/8/7,
2018/8/8,
2018/8/9,
2018/8/10,
2018/8/11,weekend
2018/8/12,weekend
2018/8/13,
2018/8/14,
2018/8/15,
2018/8/16,
2018/8/17,
2018/8/18,weekend
2018/8/19,weekend
2018/8/20,
2018/8/21,
2018/8/22,
2018/8/23,
2018/8/24,
2018/8/25,weekend
2018/8/26,weekend
2018/8/27,
2018/8/28,
2018/8/29,
2018/8/30,
2018/8/31,
2018/9/1,weekend
2018/9/2,weekend
2018/9/3,
2018/9/4,
2018/9/5,
2018/9/6,
2018/9/7,
2018/9/8,weekend
2018/9/9,weekend
2018/9/10,
2018/9/11,
2018/9/12,
2018/9/13,
2018/9/14,
2018/9/15,weekend
2018/9/16,weekend
2018/9/17,
2018/9/18,
2018/9/19,
2018/9/20,
2018/9/21,
2018/9/22,weekend
2018/9/23,weekend
2018/9/24,
2018/9/25,
2018/9/26,
2018/9/27,
2018/9/28,
2018/9/29,weekend
2018/9/30,weekend
2018/10/1,
2018/10/2,
2018/10/3,
2018/10/4,
2018/10/5,
2018/10/6,weekend
2018/10/7,weekend
2018/10/8,
2018/10/9,
2018/10/10,
2018/10/11,
2018/10/12,
2018/10/13,weekend
2018/10/14,weekend
2018/10/15,
2018/10/16,
2018/10/17,
2018/10/18,
2018/10/19,
2018/10/20,weekend
2018/10/21,weekend
2018/10/22,
2018/10/23,
2018/10/24,
2018/10/25,
2018/10/26,
2018/10/27,weekend
2018/10/28,weekend
2018/10/29,
2018/10/30,
2018/10/31,
2018/11/1,
2018/11/2,
2018/11/3,weekend
2018/11/4,weekend
